"","Estimate","StdError","tvalue","pvalue"
"SM:PAR:Treatment001:distance_to_LU16_meters",-0.200491806921676,0.0920718579955876,-2.17755795621377,0.029444910552251
"SM:PAR:Treatment002:distance_to_LU16_meters",-0.164793422874935,0.0675039569364671,-2.44124093392087,0.0146412823941327
"SM:PAR:Treatment003:distance_to_LU16_meters",-0.239557959814134,0.092999119093491,-2.57591644038379,0.0100011106912536
"SM:PAR:Treatment005:distance_to_LU16_meters",-0.499460881814046,0.0992472346081955,-5.03249167380631,4.86285970707029e-07
"VPD:year:Treatment001:distance_to_LU16_meters",16.4510430651858,4.49770284631561,3.65765450215592,0.000254867269665091
"VPD:year:Treatment002:distance_to_LU16_meters",16.451042384935,4.49770284622215,3.65765435098789,0.00025486741988543
"VPD:year:Treatment003:distance_to_LU16_meters",16.4510437531098,4.49770284627479,3.65765465513919,0.000254867117640985
"VPD:year:Treatment004:distance_to_LU16_meters",16.4510413597459,4.49770284657392,3.65765412276565,0.000254867646677066
"VPD:year:Treatment005:distance_to_LU16_meters",16.4510396926967,4.49770284616135,3.65765375245658,0.00025486801466526
"VPD:year:Treatment006:distance_to_LU16_meters",16.4510427792024,4.49770284634845,3.65765443854489,0.000254867332877328
"SM:year:Treatment003:distance_to_LU16_meters",-0.00737444627582617,0.00440932602028084,-1.67246564257376,0.0944405251413821
"SM:year:Treatment005:distance_to_LU16_meters",-0.0217054248378418,0.00470826737810884,-4.61006631415231,4.03810117155225e-06
"PAR:year:Treatment001:distance_to_LU16_meters",-4.07901207700473e-05,2.04121872285159e-05,-1.99832190021574,0.0456886739687638
"PAR:year:Treatment002:distance_to_LU16_meters",-3.30106996958319e-05,1.58619742589023e-05,-2.08112175426745,0.0374292441452851
"PAR:year:Treatment003:distance_to_LU16_meters",-4.19043837783667e-05,2.08542171471336e-05,-2.00939615631299,0.0445019850950527
"PAR:year:Treatment005:distance_to_LU16_meters",-0.000106956421012959,2.20508409189964e-05,-4.85044635739122,1.23656337548509e-06
"year:Treatment001:Latitude:Longitude",0.270574408158211,0.0367977914422036,7.35300673093897,1.97579242740075e-13
"year:Treatment004:Latitude:Longitude",0.366852712150302,0.0396615601593758,9.24957845017046,2.36400989277276e-20
"year:Treatment005:Latitude:Longitude",0.0912622151794709,0.0275323835706811,3.31472264089241,0.000918173511445547
"year:Treatment001:distance_to_LU16_meters:Longitude",1.04415827567678e-05,5.67135369497532e-06,1.84110942789881,0.0656130832462575
